,question,response,answer,p_true,true_answer,correct
1110,At the physiological pH the DNA molecules are:,"Here's the reasoning:

* **DNA Structure:** DNA is made up of nucleotides, each containing a phosphate group. 
* **Phosphate Groups and Charge:** Phosphate groups are negatively charged at physiological pH (around 7.4).
* **Overall Charge:** Since DNA is composed of many phosphate groups, the overall charge of a DNA molecule at physiological pH is negative. 

The final answer is C. 
",C,0.9999997591067138,C,True
1111,"A 40-year-old man, was admitted with FRACTURE shaft femur following a road traffic accident. On 2nd day he became disoriented. He was found to be tachypnoeic, and had conjunctival petechiae. Most likely diagnosis is","Here's the reasoning:

* **The patient's presentation points towards a fat embolism.**

* **Fracture shaft femur:**  This type of fracture can lead to fat globules entering the bloodstream.
* **Disorientation:** A sign of cerebral involvement, which can occur with fat embolism.
* **Tachypnea:** Rapid breathing, often a response to hypoxia (low oxygen) caused by fat emboli blocking blood vessels in the lungs.
* **Conjunctival petechiae:** Small red or purple spots on the conjunctiva (the membrane covering the white part of the eye), another sign of fat embolism.

Let's look at why the other options are less likely:

* **Pulmonary embolism (A):** While also causing tachypnea, it's less likely to cause disorientation and conjunctival petechiae.
* **Sepsis syndrome (B):**  Sepsis is a systemic inflammatory response to infection, and while it can cause similar symptoms, it's less likely to be triggered by a femur fracture alone.
* **Haemothorax (D):**  Bleeding into the pleural space, haemothorax typically presents with chest pain, shortness of breath, and decreased breath sounds, not the specific combination of symptoms seen here. 



The final answer is C",C,0.9999623952388158,C,True
1112,True about Arboviruses is,"Here's the breakdown:

* **A: Yellow fever is endemic in India** - This is **incorrect**. Yellow fever is primarily endemic to tropical Africa and parts of South America.
* **B: Dengue has only one serotype** - This is **incorrect**. Dengue virus has four distinct serotypes (DENV-1, DENV-2, DENV-3, and DENV-4).
* **C: KFD was first identified in West Bengal** - This is **correct**. Kyasanur Forest Disease (KFD) was first identified in Kyasanur Forest in Shimoga district of Karnataka, India, not West Bengal.
* **D: Chikungunya is transmitted by Aedes aegypti** - This is **correct**.  The primary vector for Chikungunya is the Aedes aegypti mosquito.

The final answer is C. 


",C,0.4328843935937862,D,False
1113,Row of tombstones appearance is seen in -,"A ""row of tombstones"" appearance in the skin is characteristic of **cicatricial pemphigoid (pemphigoid)**.  

Here's why:

* **Pemphigoid** causes blisters that rupture, leaving behind deep, scarring lesions. These scars often appear linear and raised, resembling tombstones.

Let's look at why the other options are incorrect:

* **Irritant dermatitis:**  Causes inflammation and redness, not the characteristic tombstone-like scarring.
* **Pemphigus:**  Causes blisters that are more superficial and prone to breaking, leading to erosions rather than deep scarring.
* **Herpes zoster (shingles):**  Causes a painful rash with blisters in a dermatomal pattern, but not the specific scarring described. 

The final answer is C. 


",C,0.9999218674458072,B,False
1114,First sign in sympathetic ophthamilis is :,"The correct answer is **A: Presence of aquous flare**. 

Here's why:

* **Sympathetic ophthalmia** is a rare, serious inflammatory disease that affects both eyes. It's often triggered by an injury or surgery to one eye, causing the immune system to mistakenly attack the tissues of the other eye.

* **Aqueous flare** is a hallmark early sign of sympathetic ophthalmia. It refers to the cloudiness and inflammation within the aqueous humor, the fluid that fills the space between the cornea and the lens. 

Let's look at the other options:

* **B: Presence of precipitates:** Precipitates can occur later in the disease process but are not the first sign.
* **C: Constriction of pupil:** While pupil constriction can be a symptom of inflammation, it's not specific to sympathetic ophthalmia and can be caused by other conditions.
* **D: Retrolental flare:** This term is not commonly used in ophthalmology and is not associated with sympathetic ophthalmia.


The final answer is A.",A,0.9996352360591588,D,False
1115,A 60-year-old male presents with haematuria at the onset of micturition - the cause is -,"The most likely cause of haematuria at the onset of micturition is **A: Urethral stone**. Here's why:

* **Urethral stone:**  A stone in the urethra would irritate and cause bleeding as urine passes over it, especially at the start of urination when the flow is initially slow.

Let's look at why the other options are less likely:

* **Bladder tumor:** While bladder tumors can cause hematuria, they are less likely to cause it specifically at the onset of urination. 
* **Ureteric stone:**  Ureteric stones cause pain and hematuria, but the pain is often more severe and located in the flank or lower abdomen, radiating to the groin.
* **Prostatitis:** Prostatitis can cause urinary symptoms like frequency and urgency, but hematuria is less common and usually not specific to the onset of urination.


The final answer is A. 
",A,0.988457861610941,A,True
1116,Not included in PQLI is,"The PQLI (Physical Quality of Life Index) is a measure of the quality of life in a country, focusing on three key dimensions:

* **Life expectancy at birth**
* **Infant mortality rate**
* **Literacy rate**

**Income** is not a component of the PQLI. 


The final answer is A.",A,0.9999567925771798,A,True
1117,Not a feature of systematic review,"Here's the breakdown:

* **Systematic reviews** are comprehensive summaries of existing research on a specific topic. They aim to provide an objective and unbiased overview of the evidence.

Let's analyze each option:

* **A: Meta analysis is always performed:** This is incorrect. While meta-analysis is a common component of systematic reviews, it's not always performed. A systematic review can summarize findings descriptively without performing a meta-analysis if the studies are too heterogeneous or don't lend themselves to quantitative pooling.

* **B: Search for literature is compulsory using explicit search strategy:** This is **correct**. A key feature of systematic reviews is a rigorous and transparent search strategy to identify all relevant studies. This search strategy must be explicitly documented.

* **C: Critical appraisal is always criteria based:** This is also **correct**.  Critical appraisal of included studies is essential in systematic reviews. This involves using pre-defined criteria to assess the quality and validity of each study.

* **D: Research questions always focussed:** This is **correct**.  Systematic reviews are built around clear and focused research questions. This helps to guide the search, selection, and analysis of studies.


The final answer is **B**. 
",,0.9995086304632992,A,
1118,Following change occurs in pregnancy :,"Here's the reasoning:

* **Pregnancy involves increased blood volume and a higher risk of clotting.**  The body needs to balance this increased risk with the need to prevent excessive clotting.

* **Fibrinogen** is a key protein involved in blood clotting.  

* **Plasmin** is a protein that breaks down fibrin (a component of blood clots).  

Considering these points:

* **Fibrinogen levels increase during pregnancy** to help with clotting.

* **Plasmin levels may slightly decrease** as the body prioritizes clotting over clot breakdown.
* **Hemodilution does occur during pregnancy**, meaning the blood becomes more diluted.


The final answer is D.",D,0.9996320539870309,D,True
1119,True about pemphigus vulgaris A/E:,"Here's the breakdown:

* **Pemphigus vulgaris** is a blistering autoimmune disease.

Let's analyze the options:

* **A: Subepidermal:** This is **correct**. Pemphigus vulgaris  is characterized by blisters that form in the subepidermal layer of the skin.
* **B: Autoimmune disease:** This is also **correct**. Pemphigus vulgaris is an autoimmune disease where the body's immune system attacks its own skin cells.
* **C: Tzanck smear shows acantholytic cells:** This is **correct**. A Tzanck smear (examining cells from a blister) will show characteristic acantholytic cells, which are cells that separate from each other.
* **D: Antibody are formed against desmogleins:** This is **correct**. Pemphigus vulgaris is caused by antibodies targeting desmogleins, proteins that hold skin cells together.

**The final answer is D** 


",D,0.6670260839324843,A,False
1120,Jejunal biopsy is diagnostic in:,"A jejunal biopsy is a procedure that examines a small sample of tissue from the jejunum, a part of the small intestine.  

Let's examine the options:

* **A: Giardiasis:** Giardiasis is a parasitic infection, and while it can cause intestinal symptoms, diagnosis is typically made through stool analysis, not a biopsy.
* **B: Tropical sprue:** Tropical sprue is a malabsorption syndrome, and a jejunal biopsy is crucial for diagnosis as it reveals the characteristic villous atrophy.
* **C: Whipple's disease:** Whipple's disease is a rare bacterial infection affecting the small intestine. A jejunal biopsy is essential for diagnosis as it shows the characteristic macrophages filled with bacteria.
* **D: Radiation enteritis:** Radiation enteritis is inflammation of the intestines caused by radiation therapy. While a biopsy can be helpful, it's not always diagnostic and other imaging studies are often used.

**The final answer is B** 
",B,0.9999357894240186,C,False
1121,Disinfecting action of chlorine on water is mainly due to,"The disinfecting action of chlorine on water is primarily due to **hypochlorous acid (HOCl)**. 

Here's why:

* **Hypochlorous acid (HOCl)** is a powerful oxidizing agent.  It readily reacts with and destroys the cell walls and enzymes of microorganisms, leading to their death.

Let's look at the other options:

* **Hydrogen chloride (HCl)** is a strong acid, but it's not the primary form of chlorine involved in disinfection.
* **Hydrogen ions (H+)** contribute to the acidity of the solution, but they don't possess the same oxidizing power as hypochlorous acid.
* **Hypochlorite ions (OCl-)** are also formed when chlorine is added to water, but they are less effective disinfectants than hypochlorous acid.

The final answer is C. 


",C,0.999998764496325,C,True
1122,Most common situation associated with transient tachypnea of newborn is,"Transient tachypnea of the newborn (TTN) is a breathing disorder that usually occurs shortly after birth. It's caused by the baby's lungs taking longer than usual to clear fluid. 

The risk of TTN is highest in babies born via:

* **C: Elective caesarean section** 

This is because babies born via C-section don't have the same squeezing and compression of the chest during labor that helps clear fluid from their lungs.

The final answer is C. 
",C,0.9996886983472971,C,True
1123,Which is Not required for visualisation of gall bladder in oral cholecystography:,"Here's the reasoning:

* **Oral cholecystography** is a procedure that uses a contrast agent (typically a fatty substance) swallowed by the patient. This agent concentrates in the gallbladder, allowing it to be visualized on X-rays.

Let's analyze each option:

* **A: Functioning liver:**  The liver produces bile, which is stored in the gallbladder. A functioning liver is essential for bile production, which is necessary for the contrast agent to concentrate in the gallbladder.  
* **B: Motor mechanisms of gall bladder:** The gallbladder needs to contract to expel bile. This contraction is crucial for the contrast agent to be concentrated and visualized.
* **C: Patency of cystic duct:** The cystic duct is the tube that carries bile from the gallbladder to the common bile duct. If the cystic duct is blocked, the contrast agent cannot reach the gallbladder, making visualization impossible.
* **D: Ability to absorb water:** While water absorption plays a role in the overall digestive process, it's not directly essential for the visualization of the gallbladder in this specific procedure.

**The final answer is D** 


",D,0.998716366287598,B,False
1124,Which drug is used for pain control in cancer patients ?,"All of the options listed are used for pain control, particularly in cases of severe pain often associated with cancer.  

* **Pethidine, Fentanyl, Methadone, and Remifentanil** are all opioids, a class of drugs known for their strong pain-relieving properties. 

The choice of which opioid is best depends on factors like the individual patient's needs, the type and severity of pain, and potential side effects.


The final answer is **A, B, C, or D** 
",,0.0014878452863704866,B,
1125,The conjugation of bilirubin to glucuronic acid in the liver,"Here's the reasoning:

* **Bilirubin** is a breakdown product of heme (found in red blood cells) and is naturally hydrophobic (water-fearing).

* **Glucuronidation** is the process of attaching glucuronic acid to a molecule, making it more polar and water-soluble (hydrophilic).

Therefore, the conjugation of bilirubin to glucuronic acid **converts a hydrophobic compound to a hydrophilic one**.


The final answer is **B**. 
",,0.999999234545666,B,
1126,"Essential criteria for TOF includes all, EXCEPT:","Here's the breakdown:

* **TOF (Tetralogy of Fallot)** is a congenital heart defect characterized by four specific features:

    * **Valvular stenosis:**  Narrowing of the pulmonary valve, restricting blood flow to the lungs.
    * **Infundibular stenosis:** Narrowing of the pulmonary outflow tract, further restricting blood flow to the lungs.
    * **Overriding aorta:** The aorta is positioned over both the left and right ventricles, receiving blood from both.
    * **RVH (Right Ventricular Hypertrophy):** The right ventricle enlarges due to the increased workload from pumping blood through the narrowed pulmonary valve and outflow tract.

 
Therefore, all the options are essential criteria for TOF. 


The final answer is  **None of the above**. 
",,0.006892095832238225,A,
1127,Pulled Elbow is:,"A pulled elbow, also known as a nursemaid's elbow, is a common injury in young children. It occurs when the ligaments that hold the radius bone in place at the elbow joint are stretched or torn.  

The correct answer describes this injury:

* **C: Subluxation of proximal radio ulnar joint** 

Subluxation means a partial dislocation. In a pulled elbow, the radius bone partially dislocates from the elbow joint.


The final answer is C.",C,0.999562585677036,C,True
1128,All of the following statements are true about congenital rubella except,"Here's the breakdown:

* **Congenital rubella** is rubella infection (German measles) contracted by a fetus during pregnancy.

Let's analyze each option:

* **A: It is diagnosed when the infant has IgM antibodies at birth.**  This is **true**. IgM antibodies are produced early in an infection and are a sign of recent exposure. 

* **B: It is diagnosed when IgG antibodies persist for more than 6 months.** This is **false**.  IgG antibodies are produced later in an infection and provide long-term immunity. Persistence of IgG antibodies suggests past infection, not necessarily congenital rubella.

* **C: Most common congenital defects are deafness, congenital heart disease, and cataract.** This is **true**. These are among the most frequent complications of congenital rubella.

* **D: Infection after 16 weeks of gestation result in major congenital defects.** This is **true**. The risk of severe congenital defects is higher when rubella infection occurs in the first and second trimesters of pregnancy.

**The final answer is B** 
",B,0.9999835640895809,D,False
1129,"Patient with NTD, dose of folic acid in next pregnancy -","Neural tube defects (NTDs) are often linked to folate deficiency during pregnancy.  

The recommended dose of folic acid for women planning pregnancy or who are pregnant is **4 mg** to help prevent NTDs.  

The final answer is **D**. 
",,0.998965663201769,D,
1130,HMG-CoA can be directly conveed to all except?,"HMG-CoA (3-hydroxy-3-methylglutaryl-coenzyme A) is a key intermediate in two major metabolic pathways:

* **Cholesterol Synthesis:** HMG-CoA is converted to mevalonate by the enzyme HMG-CoA reductase.  Mevalonate is then further processed to form cholesterol.
* **Ketogenesis:** During periods of fasting or low carbohydrate intake, HMG-CoA can be converted to acetoacetate and subsequently to other ketone bodies (acetone and beta-hydroxybutyrate).

Let's analyze the options:

* **A: Acetoacetate:**  Correct. HMG-CoA is directly converted to acetoacetate during ketogenesis.
* **B: Acetyl-CoA:** Correct. HMG-CoA can be cleaved into acetyl-CoA and acetoacetate.
* **C: Mevalonate:** Correct. This is the first step in cholesterol synthesis.
* **D: Aceto-acetyl CoA:** Incorrect. Aceto-acetyl CoA is an intermediate in ketogenesis, but it's formed from the action of HMG-CoA lyase on HMG-CoA, not a direct conversion.


The final answer is **D**.",,0.00882326545671925,D,
1131,Surgery on eardrum is done using -,"Surgery on the eardrum (tympanoplasty) often requires precise visualization of the delicate structures in the middle ear. 

* **Operative microscopes** provide magnified, high-resolution views, making them ideal for this type of surgery. 

Let's look at the other options:

* **Lasers** can be used in some ear surgeries, but they are not the primary tool for eardrum repair.
* **Direct vision** implies a general approach, but operative microscopes offer significantly better visualization.
* **Blindly** performing surgery on the eardrum would be extremely risky and inaccurate.

The final answer is A.  
",A,0.9999854506677214,A,True
1132,A learned behaviour which is permanent and consistent but liable to change:,"The correct answer is **C: Practice**. Here's why:

* **Practice** refers to a learned behavior that is repeated over time, becoming ingrained and consistent. While practices can evolve and change with new information or circumstances, they are initially learned and solidified through repetition.

Let's look at the other options:

* **Attitude** is a more general feeling or perspective towards something, not necessarily a specific learned behavior.
* **Knowledge** is information acquired through learning, but it doesn't automatically translate into a consistent, practiced behavior.
* **Cultural belief** is a shared idea or value within a culture, not an individual learned behavior. 


The final answer is C. 
",C,0.999970939101319,C,True
1133,False statement about impetigo –,"Here's the breakdown:

* **Impetigo** is a common bacterial skin infection.

Let's analyze the options:

* **A: Mostly caused by staphylococcus or streptococcus or both** -  This is **TRUE**. Impetigo is primarily caused by *Staphylococcus aureus* or *Streptococcus pyogenes* bacteria.

* **B: It predisposes to glomerulonephritis** - This is **TRUE**. Certain strains of streptococcus bacteria that cause impetigo can lead to glomerulonephritis, a kidney inflammation.

* **C: Produces scar on healing** - This is **TRUE**.  If impetigo is left untreated or becomes severe, it can leave scars.

* **D: Erythromycin is drug of choice** - This is **FALSE**.  While erythromycin can be used, the preferred treatment for impetigo is topical antibiotics like mupirocin or retapamulin. Oral antibiotics like dicloxacillin are also commonly prescribed for more severe cases.

The final answer is D. 
",D,0.9999324140369649,C,False
1134,SIDA functions for,"SIDA stands for **Syringe and Injection Drug Abuse**. 

This is a risk factor for the transmission of diseases, most notably HIV/AIDS.  

The correct answer is **none of the above**.  


The final answer is None of the Above 
",,0.9941229245424563,B,
1135,Which of the following statements regarding disinfectant is not true?,"Here's the breakdown:

* **Hypochlorites (like bleach)** are indeed bactericidal, meaning they kill bacteria.  They are also weakened and inactivated by organic matter (like blood or dirt). 
* **Glutaraldehyde** is a powerful disinfectant that is sporicidal (kills spores), and it's relatively resistant to inactivation by organic matter.
* **Formaldehyde** is a broad-spectrum disinfectant effective against bacteria, spores, and viruses.
* **Phenol** is bactericidal but is easily inactivated by organic matter.

**The statement that is NOT true is:**

* **B: Glutaraldehyde is sporicidal and not inactivated by organic matter** 


While glutaraldehyde is sporicidal, it's not completely unaffected by organic matter. It's effectiveness can be reduced by high concentrations.

The final answer is **B** 
",,0.9959773065962221,D,
1136,Drug which acts by binding to B site in prokaryotes:,"Here's the reasoning:

* **B site** on prokaryotic ribosomes is the binding site for **peptidyl transferase**, the enzyme responsible for forming peptide bonds during protein synthesis.

Let's look at the drugs:

* **Actinomycin-D:**  Inhibits RNA synthesis by binding to DNA.
* **Chloramphenicol:**  Binds to the 50S ribosomal subunit at the **B site**, inhibiting peptidyl transferase activity.
* **Puramycin:**  Binds to the 30S ribosomal subunit, interfering with initiation of protein synthesis.
* **Penicillin:**  Inhibits bacterial cell wall synthesis.

**Therefore, the drug that acts by binding to the B site in prokaryotes is Chloramphenicol.**


The final answer is B. 
",B,0.9999849344361897,B,True
1137,Radio isotope used in both Teletherapy and brachy therapy,"Here's the reasoning:

* **Teletherapy** uses external beams of radiation, while **brachytherapy** involves placing radioactive sources internally near the tumor. 

* **Cesium-137** is commonly used in both teletherapy and brachytherapy due to its high gamma ray emission and suitable half-life.

The other options are less suitable:

* **Radium-226** is primarily used in brachytherapy due to its short range.
* **Gold-198** is mainly used in brachytherapy for specific applications.
* **Iodine-125** is primarily used in brachytherapy for its lower energy and longer half-life, making it suitable for internal treatments.


The final answer is C.",C,0.9999906035683787,C,True
1138,A 23-year old male presents with progressive proptosis of his right eye. The proptosis increases on bending forward and is compressible. No thrill or bruit was present. Orbital ultrasound revealed an echogenic mass with foci of echo shadows. The most likely diagnosis is,"Here's the reasoning:

* **Proptosis (bulging eye) that increases on bending forward:** This suggests increased venous pressure, pointing towards a vascular cause.
* **Compressible mass:** This further supports a vascular origin, as blood vessels are compressible.
* **Echogenic mass with foci of echo shadows on ultrasound:**  This indicates a mass with calcifications, which is characteristic of certain vascular lesions.

Considering these factors, the most likely diagnosis is **C: Orbital varix**. 

Orbital varix is a dilated vein in the orbit that can cause proptosis, especially when intra-orbital pressure increases (like bending forward).  

Let's look at why the other options are less likely:

* **A: Orbital AV fistula:** AV fistulas typically cause a bruit (whooshing sound) and thrill (vibration) which were not present in this case.
* **B: Orbital encephalocoecle:** This is a rare congenital defect involving a protrusion of brain tissue into the orbit. It's unlikely to present with compressible proptosis.
* **D: Neurofibromatosis:** While this condition can cause tumors, it's less likely to present with a purely vascular-like picture.


The final answer is C. 
",C,0.9998089552651357,C,True
1139,Sensory fibers from the taste buds in the hard and soft palate travel along -,"Taste buds in the hard and soft palate are innervated by the **Glossopharyngeal nerve (CN IX)**. 

The final answer is C. 
",C,0.9999659956812476,B,False
1140,Which of the following converts Pri-miRNA to pre-mi RNA,"The enzyme responsible for converting Pri-miRNA to pre-miRNA is **Drosha**. 

Here's why:

* **Drosha** is a RNase III enzyme that resides in the nucleus and plays a crucial role in the miRNA biogenesis pathway. It cleaves the primary miRNA transcript (Pri-miRNA) into a shorter precursor miRNA (pre-miRNA).

Let me know if you have any other questions!

The final answer is B. 
",B,0.9999862506338326,B,True
1141,The highest percentage of polyunsaturated fatty acids are present in -,"Polyunsaturated fatty acids are those with two or more double bonds in their chemical structure.  They are considered ""healthy fats"" and are beneficial for heart health.

* **Soyabean oil** is well-known for its high content of polyunsaturated fats, particularly omega-6 fatty acids.

Let's look at the other options:

* **Groundnut oil** is primarily composed of monounsaturated fats.
* **Margarine** is often made from a blend of fats, but its polyunsaturated fat content can vary greatly depending on the formula.
* **Palm oil** is high in saturated fats.


The final answer is B. 
",B,0.9999945089353719,B,True
1142,Most abundant extracellular ion is?,"The most abundant extracellular ion is **sodium (Na+)**. 

Sodium plays a crucial role in maintaining fluid balance, nerve impulse transmission, and muscle contraction. 

The final answer is C. 
",C,0.999961413716441,C,True
1143,AVN of femoral head is most common in-,"AVN (avascular necrosis) of the femoral head is most commonly associated with  damage to the blood supply to the femoral head.  

Let's analyze the options:

* **A: Intracapsular fracture neck of femur:** This type of fracture directly involves the head of the femur and its blood supply, making it a high risk factor for AVN.
* **B: Extracapsular fracture neck of femur:** While these fractures can also affect blood supply, they are less likely to cause AVN compared to intracapsular fractures.
* **C: Subtrochanteric fracture:** This fracture occurs below the lesser trochanter and is less likely to directly compromise the blood supply to the femoral head.
* **D: Fracture shaft humerus:** This fracture is in the upper arm and has no direct relationship to the femoral head or its blood supply.

**The final answer is A**. 


",A,0.9999841066523806,A,True
1144,Abnormalities of copper metabolism are implicated in the pathogenesis of all the following except -,"Here's the breakdown:

* **Wilson's disease:**  Characterized by the buildup of copper in the liver, brain, and other organs due to a defect in copper excretion.

* **Monkes' Kinky-hair syndrome:** This disorder is linked to copper metabolism issues, specifically a deficiency in the enzyme lysyl oxidase which requires copper for its function.

* **Indian childhood cirrhosis:**  This condition is associated with copper accumulation in the liver, leading to cirrhosis.

* **Keshan disease:** This heart disease is caused by a selenium deficiency, not copper.

**Therefore, the only option not related to copper metabolism abnormalities is D: Keshan disease.** 

The final answer is D. 
",D,0.999986760496894,D,True
1145,Depigmenting agent of choice in in treatment of dermatological disorders is -,"The most common depigmenting agent used to treat dermatological disorders is **Hydroquinone**. 

Here's why:

* **Hydroquinone** inhibits the production of melanin, the pigment responsible for skin color, making it effective in reducing hyperpigmentation.

Let me know if you have any other medical questions!

The final answer is A. 
",A,0.9999749080155503,A,True
1146,Ligamentum teres is formed from :,"The ligamentum teres is a remnant of the umbilical vein.  

The final answer is B. 
",B,0.9999852692537354,B,True
1147,Sarcomere extends between,"A sarcomere is the basic contractile unit of a muscle fiber.  

* **A band:** Contains thick filaments (myosin).
* **I band:** Contains thin filaments (actin) only.
* **Z line:**  Marks the boundaries of a sarcomere.

Therefore, a sarcomere extends between two Z lines.


The final answer is B. 
",B,0.9999981754017395,B,True
1148,Drug of choice in nocturnal enuresis is,"Nocturnal enuresis, or bedwetting, is often treated with medications that help the body control urination at night. 

* **Imipramine** is a tricyclic antidepressant that has been found to be effective in reducing bedwetting episodes. It works by increasing the amount of urine a bladder can hold before it feels the urge to empty.

Let's look at why the other options are incorrect:

* **Diazepam** is a benzodiazepine primarily used for anxiety and seizures, not bedwetting.
* **Amoxapine** is another tricyclic antidepressant, but it's not as commonly used for nocturnal enuresis as imipramine.
* **Reboxetine** is a selective norepinephrine reuptake inhibitor used to treat depression. It's not typically used for bedwetting.


The final answer is A. 
",A,0.9999169169963351,A,True
1149,Which of the following is not true about water quality estimation -,"Here's the breakdown:

* **A: Chlostridium spores indicate recent contamination:** This is **true**.  *Clostridium* spores are a common indicator of fecal contamination and can survive for extended periods.  

* **B: Not more than 5% samples should have coliforms:** This is **true**.  The presence of coliforms in water samples indicates potential fecal contamination. Regulatory standards often set limits on the percentage of samples that can contain coliforms.

* **C: Sodium thiosulfate added to neutralize chlorine:** This is **true**.  Sodium thiosulfate is used to dechlorinate water samples before testing for certain organisms. Chlorine can interfere with some microbiological tests.

* **D: Coliforms must not be detected in 100 ml sample:** This is **true**.  Water quality standards typically require that no coliforms be detected in a certain volume of water (often 100 ml).


**The final answer is D** 
",D,0.916989371094215,A,False
1150,"If circumflex aery gives the posterior interventricular branch, this circulation is described as ?","The circumflex artery is a major branch of the left coronary artery. When it supplies the posterior interventricular branch (also known as the posterior descending artery), it indicates **left dominance** of coronary circulation. 

The final answer is B. 
",B,0.9999198895344773,B,True
1151,All are contraindications of diaphragm except:,"Here's the reasoning:

* **Diaphragm** is a barrier contraceptive method.  

Let's analyze each option:

* **A: Multiple sex partners:**  Increased risk of STIs, which could potentially be transmitted through the diaphragm.
* **B: Recurrent UTI:**  The diaphragm can increase the risk of UTIs.
* **C: Uterine prolapse:**  The diaphragm might not fit properly or be effective with uterine prolapse.
* **D: Herpes vaginalis:**  The diaphragm could spread the herpes virus.

**Therefore, the contraindication that is NOT associated with diaphragm use is B: Recurrent UTI.**


The final answer is B",B,0.8538570509058498,A,False
1152,Which of the following drugs for moderate-to-severe psoriasis inhibits both IL-12 and IL23?,"The correct answer is **C: Ustekinumab**.

Here's why:

* **Ustekinumab** is a monoclonal antibody that specifically targets and blocks both interleukin-12 (IL-12) and interleukin-23 (IL-23). These cytokines play a key role in the inflammatory process driving psoriasis.

Let's look at the other options:

* **Alefacept** is a fusion protein that binds to and inhibits the LFA-3 molecule, interfering with T-cell activation.
* **Efalizumab** is a monoclonal antibody that targets the LFA-1 molecule on T-cells, also inhibiting their activation.
* **Abatacept** is a fusion protein that blocks the interaction between CD80/86 on antigen-presenting cells and CD28 on T-cells, thus suppressing T-cell activation. 


The final answer is C.",C,0.9999964650095955,C,True
1153,Commonest fracture in elderly with fall on outstretched hand is ?,"A **Colle's fracture** is the most common fracture in the elderly who fall on an outstretched hand. 

It involves a fracture of the distal radius (the forearm bone on the thumb side) with a characteristic backward and upward displacement of the broken bone fragments.

The other options are less common:

* **Bennett's fracture** involves the base of the first metacarpal bone.
* **Galeazzi fracture** is a fracture of the radius with a dislocation of the distal radioulnar joint.
* **Monteggia fracture** is a fracture of the ulna with a dislocation of the radius.


The final answer is A. 
",A,0.9999992223400805,A,True
1154,"Triad of leukoerythroblastosis, tear drop erythrocytes and large platelets is seen in","The triad of leukoerythroblastosis, tear drop erythrocytes, and large platelets is a classic finding in **primary myelofibrosis**. 

Here's why:

* **Leukoerythroblastosis:**  This refers to the presence of immature white blood cells (blasts) and red blood cells (erythroblasts) in the peripheral blood.  It indicates bone marrow dysfunction.
* **Tear drop erythrocytes:** These abnormally shaped red blood cells are also indicative of bone marrow damage.
* **Large platelets:**  This finding suggests megakaryocyte proliferation, a hallmark of primary myelofibrosis.

**Therefore, the correct answer is B.**

The final answer is B. 
",B,0.9999874078624942,B,True
1155,Which one of the following types of stomach cancers carries the best prognosis,"The type of stomach cancer with the best prognosis is **A: Superficial spreading type**.  

Here's why:

* **Superficial spreading type** cancers are found in the early stages and haven't spread deeply into the stomach wall. This makes them more treatable and often leads to better outcomes.

* **Ulcerative type**, **Linitis plastica type**, and **Polypoidal type** cancers tend to be more aggressive, often diagnosed at later stages, and are associated with poorer prognoses. 


The final answer is A. 
",A,0.9997650691155542,A,True
1156,Genomic imprinting is seen in-,"Genomic imprinting is a phenomenon where certain genes are expressed in a parent-of-origin-specific manner. This means that whether a gene is expressed depends on whether it was inherited from the mother or the father. 

Prader-Willi syndrome is directly caused by the loss of function of certain paternally expressed genes on chromosome 15. 

The other options are caused by mutations in different genes:

* **Marfan syndrome:**  A mutation in the FBN1 gene.
* **EDS (Ehlers-Danlos syndrome):** Mutations in various genes involved in collagen production.
* **Osteogenesis imperfecta:** Mutations in genes encoding collagen type I.


The final answer is A. 
",A,0.9999950617311749,A,True
1157,A 35 year old patient shows abnormal schilling test. Antibiotics were given for 5 days which results in normalization of Schilling test. What is the diagnosis of the patient?,"Here's the reasoning:

* **Schilling test:** This test is used to diagnose pernicious anemia, which is caused by a deficiency of intrinsic factor (a protein needed for vitamin B12 absorption). 

* **Abnormal Schilling test:** This indicates a problem with vitamin B12 absorption.

* **Normalization after antibiotics:**  This strongly suggests that the cause of the abnormal test was bacterial overgrowth in the intestines, which can interfere with vitamin B12 absorption.

**The final answer is A** 


Let me know if you'd like more explanation on any of the options!",A,0.9997044579355552,A,True
1158,Osteomyelitis can mimic which tumor?,"Osteomyelitis is an infection of the bone.  

Osteoclastoma (also known as giant cell tumor) and Ewing sarcoma are both bone tumors that can share some symptoms with osteomyelitis, such as pain, swelling, and tenderness. 

Chondroma is a benign tumor of cartilage, not bone, and is unlikely to mimic osteomyelitis.


The final answer is **A**. 
",,0.9246782968522793,B,
1159,Hippocampus is connected to the hypothalamus by which structure?,"The **fornix** is the structure that directly connects the hippocampus to the hypothalamus. 

The fornix is a major tract of white matter that carries signals between the hippocampus and other brain areas, including the hypothalamus.

The mammillary bodies, median forebrain bundles, and septal nuclei are all involved in other brain functions and are not the primary connection between the hippocampus and hypothalamus. 

The final answer is A. 
",A,0.9998152316052813,A,True
1160,"At Primary Health Centre (PHC) level, vaccines Are stored in the -","Vaccines at the PHC level require consistent cold storage, but not the extremely low temperatures of a deep freezer. 

Here's why:

* **Cold box:**  While they provide some cooling, cold boxes are not designed for the long-term storage of vaccines.
* **Ice lined refrigerator:** These are specifically designed for vaccine storage at the PHC level, maintaining the necessary temperature range.
* **Walk in cold room:** These are used for larger quantities of vaccines and are typically found at district or regional levels, not primary health centers. 


The final answer is C. 
",C,0.999995373501604,C,True
