,question,options,response,answer,p_true,true_answer,correct
1303,Cause of Coxa vera ?,"['Congenital', ""Pehe's disease"", 'SCFE', 'All of the above']","Coxa vera, also known as Perthes disease, is a condition where the head of the femur loses its blood supply, leading to bone death and subsequent healing and remodeling. This condition typically affects children and can be congenital, but it is more accurately described as a developmental issue that can occur at any time during childhood. It is not a specific disease named after a person (Option B, Pehe's disease), nor is it a specific fracture (Option C, SCFE, which stands for Slipped Capital Femoral Epiphysis). Coxa vera can indeed be congenital (Option A), but it is a term that encompasses a variety of conditions and is not limited to just congenital causes.

The final answer is D.",D,0.02324610518065534,A,False
1304,All of the following activities of Junior Red cross except –,"['Military hospital worker', 'Village uplift', 'Prevent epidemic work', 'Any of the above']","To determine which activity is not associated with the Junior Red Cross, let's analyze each option in the context of typical activities of the Junior Red Cross.

A. Military hospital worker: This activity is more closely aligned with the Red Cross's role in providing medical assistance and support during military conflicts. While the Red Cross does assist military personnel, the term ""junior"" suggests activities that are more community-focused and less directly linked to military operations.

B. Village uplift: This activity focuses on improving the quality of life in rural or underserved communities, which is a key focus area for the Red Cross.

C. Prevent epidemic work: This is a public health activity aimed at preventing the spread of diseases, which is another important role of the Red Cross.

D. Any of the above: This option suggests that all the listed activities could be part of the Junior Red Cross's activities.

Considering the context, while all activities listed (except A) can be part of the Junior Red Cross's mission, the term ""junior"" suggests more community-based activities rather than direct military support.

The final answer is A.",A,0.9999844609644702,A,True
1305,All the following are cyanotic hea disease except,"['TOF', 'PDA', 'Tricuspid atresia', ""Eisenmenger's complex""]","To determine which condition is not a cyanotic heart disease, let's first understand the nature of cyanotic heart diseases. Cyanotic heart diseases are those in which there is a direct mixing of oxygenated and deoxygenated blood, leading to a blue discoloration of the skin due to low levels of oxygen in the blood.

- **TOF (Tetralogy of Fallot)**: This is a cyanotic heart disease, characterized by a combination of four defects including a ventricular septal defect, right ventricular hypertrophy, overriding aorta, and a pulmonary stenosis.
- **PDA (Patent Ductus Arteriosus)**: This is a non-cyanotic heart condition unless there are additional structural defects that cause a significant right-to-left shunt. In many cases, it does not lead to cyanosis.
- **Tricuspid Atresia**: This is a cyanotic heart disease, where the tricuspid valve is absent, leading to a poor connection between the right atrium and right ventricle, often requiring a significant right-to-left shunt.
- **Eisenmenger's Complex**: This is a cyanotic heart disease that develops after a left-to-right shunt (like a ventricular septal defect) becomes a right-to-left shunt, leading to cyanosis.

Given this information, the condition that is not a cyanotic heart disease is PDA, unless there are additional structural defects.

The final answer is B.",B,0.06515168277315452,B,True
1306,All pencillins act by: September 2007,"['Inhibiting protein synthesis', 'Inhibiting cell wall synthesis', 'Antifolate', 'Inhibitis DNA gyrase']","Pencillins are antibiotics that work by inhibiting the synthesis of bacterial cell walls. They do this by binding to penicillin-binding proteins (PBPs) in the bacterial cell wall, which leads to the prevention of cross-linking in the peptidoglycan layer, weakening the cell wall and ultimately causing bacterial cell death.

Given the options:

A. Inhibiting protein synthesis - Incorrect. Pencillins do not inhibit protein synthesis.
B. Inhibiting cell wall synthesis - Correct. This is the mechanism by which pencillins act.
C. Antifolate - Incorrect. This is not related to the action of pencillins.
D. Inhibits DNA gyrase - Incorrect. This is the mechanism of action for fluoroquinolones, not pencillins.

The final answer is B.",B,0.9999949956153199,B,True
1307,Epiphyseal enlargement occurs in -,"[""Paget's disease"", ""Sheurmann's disease"", 'Epiphyseal dysplasia', 'Hemophilia']","Let's analyze each option to determine which condition is associated with epiphyseal enlargement.

A. Paget's disease: This condition involves the abnormal breakdown and formation of bone. While it can cause a variety of bone abnormalities, it is not specifically known for causing epiphyseal enlargement.

B. Scheuermann's disease: This is a condition that causes the vertebrae in the spine to grow unevenly, leading to a hunched posture. It affects the growth plates (epiphyses) of the vertebrae, leading to epiphyseal enlargement.

C. Epiphyseal dysplasia: This term refers to a group of conditions affecting the growth plates of bones, but it is not a specific condition that causes epiphyseal enlargement. It describes a variety of disorders that can affect the growth of bones.

D. Hemophilia: This is a bleeding disorder that affects the blood's ability to clot. It does not typically cause epiphyseal enlargement.

Given this analysis, the correct condition that is associated with epiphyseal enlargement is Scheuermann's disease.

The final answer is B",B,0.998428702051536,D,False
1308,DOC of GTCS in pregnancy,"['Lamotrigine', 'CBZ', 'Levetiracetam', 'Valproate']","To determine the correct answer, let's consider the options and their safety profiles in pregnancy for treating generalized tonic-clonic seizures (GTCS):

- **Lamotrigine (A):** Generally considered safer in pregnancy, but requires careful dose adjustment and monitoring.
- **CBZ (B):** Carbamazepine can cause birth defects and is generally not recommended during pregnancy.
- **Levetiracetam (C):** Generally considered safe and well-tolerated during pregnancy.
- **Valproate (D):** Strongly associated with an increased risk of birth defects (especially neural tube defects) and cognitive/behavioral issues in offspring, making it contraindicated in pregnancy unless other options are not viable.

Given the risks associated with Carbamazepine (CBZ) and Valproate (Valproate) in pregnancy, and the relative safety of Levetiracetam (Levetiracetam), the best choice for treating GTCS during pregnancy, while balancing safety, would be Levetiracetam.

The final answer is C",C,0.9999207513176716,A,False
1309,Treatment of Hodgkin&;s disease -,"['CHOP', 'MOPP', 'ABVD', 'None']","To determine the correct answer, we need to consider the specific treatments used for Hodgkin's disease. 

Hodgkin's disease, also known as Hodgkin lymphoma, is a type of cancer that starts in the lymphatic system. The treatment options for Hodgkin's disease often involve chemotherapy and sometimes radiation therapy. 

- CHOP (Chemotherapy regimen consisting of cyclophosphamide, doxorubicin, vincristine, and prednisone) is typically used for non-Hodgkin lymphoma.
- MOPP (Mechlorethamine, Oncovin, Procarbazine, and Prednisone) is an older regimen that was primarily used for Hodgkin's disease but has been largely replaced by more effective and less toxic regimens.
- ABVD (Adriamycin, Bleomycin, Vinblastine, and Dacarbazine) is a standard chemotherapy regimen used for Hodgkin's disease.
- ""None"" is not correct since there are recognized treatments for Hodgkin's disease.

Given this information, the correct treatment regimen for Hodgkin's disease is ABVD.

The final answer is C",C,0.9999127760458337,C,True
1310,What is irregular astigmatism-,"['Perpendicular principal meridians', 'Non perpendicular principal meridians', 'Any of the above', 'None of the above']","Irregular astigmatism occurs when the shape of the cornea is not symmetrical or regular, meaning the principal meridians are not perpendicular to each other. This is different from regular astigmatism where the principal meridians are perpendicular. Therefore, irregular astigmatism involves non-perpendicular principal meridians.

The final answer is B.",B,0.9999953598349177,B,True
1311,The cuspal inclines of the maxillary buccal cusps and the mandibular lingual cusps should be grounded if they are in deflective occlusal contact in:,"['Working position only', 'Balancing position only', 'Both working and balancing positions', 'Central position']","To determine the correct answer, let's first understand the terms involved:

1. **Working position**: This is the position of the mandible during functional movements, such as chewing, where the cusps of the teeth interdigitate and create occlusal contacts.
2. **Balancing position**: This is the position of the mandible when the teeth are in contact with no muscle tension, and the condyles are seated in the sockets.
3. **Central position**: This is the position of the mandible when the teeth are in contact with the upper and lower teeth in the center, without any lateral or protrusive movements.
4. **Deflective occlusal contact**: This occurs when a cusp of one tooth contacts a non-cuspal area (e.g., the buccal cusp of the maxillary first molar contacts the lingual cusp tip of the mandibular first molar) during functional movements, leading to a deflective force.

Given that the question asks about deflective occlusal contact involving the maxillary buccal cusps and the mandibular lingual cusps, it is important to note that such contacts occur during functional movements, specifically in the working position. The balancing and central positions are static and do not typically involve the same type of deflective contact.

Therefore, the cuspal inclines of the maxillary buccal cusps and the mandibular lingual cusps should be grounded if they are in deflective occlusal contact in the working position only.

The final answer is A",A,0.99998377873276,A,True
1312,Niacin is synthesized from:,"['Phenylalanine', 'Tryptophan', 'Tyrosine', 'Methionine']","To determine the correct answer, we need to understand the biochemical process of niacin synthesis. Niacin, also known as vitamin B3, can be synthesized from tryptophan in the human body. The conversion of tryptophan to niacin involves several steps, including the production of nicotinamide, which is the amide form of niacin.

The other options provided (phenylalanine, tyrosine, and methionine) are not directly involved in the synthesis of niacin. 

Therefore, the correct answer is B.

The final answer is B.",B,0.9999998371822856,B,True
1313,Which of the following is given to prevent methotrexate toxicity?,"['MESNA', 'Flumazenil', 'Fomipezole', 'Calcium leucovorin']","To determine the correct answer, let's analyze each option in the context of preventing methotrexate toxicity.

A. MESNA - This is commonly used to prevent cystine nephropathy, which can be a complication of methotrexate therapy, but it is not the primary antidote for methotrexate toxicity.

B. Flumazenil - This is a benzodiazepine antagonist used to reverse the effects of benzodiazepines, not methotrexate toxicity.

C. Fomipezole - This is a drug used to treat and prevent methanol poisoning by competing for the same enzymatic pathway as methanol, but it is not used for methotrexate toxicity.

D. Calcium Leucovorin - This is a form of folic acid that can help to mitigate the toxicity of methotrexate by providing an alternative substrate for dihydrofolate reductase, thus reducing the toxic accumulation of methotrexate.

The final answer is D.",D,0.9999998953830612,D,True
1314,Most potent statin is?,"['Simvastatin', 'Pitavastatin', 'Rosuvastatin', 'Atorvastatin']","To determine the most potent statin, we need to consider the potency of each medication in lowering cholesterol levels, which is typically measured by its IC50 value (the concentration of the drug required to inhibit HMG-CoA reductase by 50%). Among the options provided:

- Simvastatin has a moderate potency.
- Pitavastatin is also considered to have moderate potency.
- Rosuvastatin is known for its high potency and can be prescribed at lower doses due to its long half-life and high efficacy.
- Atorvastatin is a potent statin but is generally considered less potent than Rosuvastatin.

Based on these points, Rosuvastatin is recognized as the most potent statin.

The final answer is C.",C,0.9999743969237461,C,True
1315,Which drugs are used for prenatal therapy of congenital adrenal hyperplasia?,"['Hydrocoisone', 'Prednisolone', 'Fludrocoisone', 'Dexamethasone']","To determine the correct answer, we need to consider the drugs commonly used in prenatal therapy for congenital adrenal hyperplasia (CAH). CAH is a group of genetic disorders that affect the adrenal glands, leading to the production of abnormal amounts of adrenal hormones. Prenatal therapy aims to reduce the production of excess androgen hormones in the developing fetus, often through the use of glucocorticoids.

- Hydrocoisone (A) is not a common term; it might be a misspelling or a typo.
- Prednisolone (B) is a glucocorticoid that can be used to treat CAH, but it is not typically the first choice for prenatal therapy due to its longer half-life and potential side effects.
- Fludrocoisone (C) is also not a standard term and seems to be a misspelling or typo.
- Dexamethasone (D) is a potent glucocorticoid that is commonly used in prenatal therapy for CAH due to its short half-life, making it easier to control the dose and minimize side effects.

The final answer is D",D,0.9998936628760294,D,True
1316,"A 20 year female presents with a ovarian mass 6x 6 x 6cm in size. Ultrasonography reveals solid structures in the mass. Her serum biomarkers such as AFP. fO-hCG and CA 125 are normal, however, her serum alkaline phosphatase was found to be elevated. The most likely diagnosis is","['Dysgerminoma', 'Endodermal sinus tumor', 'Malignant teratoma', 'Mucinous cystadenocarcinoma']","Let's reason through the provided information:

1. **Patient Presentation and Mass Characteristics:**
   - A 20-year-old female patient with a 6x6x6 cm ovarian mass.
   - The ultrasonography reveals solid structures in the mass, which is a significant clue.

2. **Serum Biomarkers:**
   - Serum alpha-fetoprotein (AFP) is normal, which rules out endodermal sinus tumor (B) and malignant teratoma (C).
   - Serum human chorionic gonadotropin (β-hCG) is normal, which further rules out endodermal sinus tumor (B) and malignant teratoma (C).
   - Serum CA 125 is normal, which rules out certain types of ovarian cancer, including malignant teratoma (C).

3. **Serum Alkaline Phosphatase:**
   - Elevated serum alkaline phosphatase can be a marker for certain types of ovarian tumors, including dysgerminoma (A) and malignant teratoma (C).

4. **Diagnosis Consideration:**
   - Dysgerminoma (A) is a type of germ cell tumor that commonly presents as a solid mass in premenopausal women and can elevate alkaline phosphatase levels.
   - Malignant teratoma (C) can also elevate alkaline phosphatase but is less likely given the normal AFP and hCG levels.

Given these considerations, the most likely diagnosis is Dysgerminoma.

The final answer is A.",A,0.9999763888896614,A,True
1317,Strength of topical ophthalmic preparations of tobramycin is : September 2009,"['3 mg/ ml', '8 mg/ ml', '10 mg/ml', '13 mg/ml']","To determine the correct strength of topical ophthalmic preparations of tobramycin, it is important to consider the typical concentrations used in ophthalmic medications. Tobramycin is an aminoglycoside antibiotic commonly used to treat bacterial infections of the eye. The most commonly prescribed concentration for ophthalmic use is 0.3%.

Let's evaluate the given options:

A. 3 mg/ ml: This would be 3000 mcg/ml, which is 3% or 300 mg/ ml, which is not the typical concentration.

B. 8 mg/ ml: This would be 8000 mcg/ml, which is much higher than the typical concentration for ophthalmic use.

C. 10 mg/ml: This would be 10000 mcg/ml, which is also much higher than the typical concentration for ophthalmic use.

D. 13 mg/ml: This would be 13000 mcg/ml, which is even higher and not the typical concentration.

Given that the common concentration for tobramycin in ophthalmic preparations is 0.3%, the closest match to this concentration in the given options is not directly listed. However, the typical concentration is 300 mcg/ml, which is closest to option A (3 mg/ ml).

The final answer is A",A,0.0017881599804556872,A,True
1318,Pterygium all are true except:,"['Arise from any pa of conjunctiva', 'Can cause astigmatism', 'Surgery is treatment of choice', 'UV exposure is risk factor']","Let's analyze each option regarding pterygium:

A. Arise from any part of conjunctiva - This is incorrect. Pterygium typically arises from the nasal conjunctiva and extends towards the cornea.

B. Can cause astigmatism - This is correct. A pterygium can cause astigmatism if it grows over the cornea.

C. Surgery is treatment of choice - This is generally correct. Surgery is often recommended to remove a pterygium if it causes visual obstruction or discomfort.

D. UV exposure is a risk factor - This is correct. Pterygium is more common in individuals who are frequently exposed to UV radiation.

Since option A is the only one that is not true for pterygium, the correct answer is:

The final answer is A",A,0.9999916389922371,A,True
1319,A person with eyes closed & mind wondering will have the following wave in,"['a-waves', 'b-waves', 'd-waves', 't-waves']","To determine the correct answer, let's consider what each type of wave represents in the context of an electroencephalogram (EEG), which measures brain activity.

- **a-waves (Alpha waves)**: These are typically seen when a person is in a relaxed state with eyes closed and the mind is not actively focused on a specific task. Alpha waves are characterized by a frequency of about 8-13 Hz.
- **b-waves (Beta waves)**: These are associated with active or anxious mental activity, alertness, and are seen with eyes open or when the mind is actively engaged.
- **d-waves (Delta waves)**: These are slow waves (0.5-4 Hz) and are characteristic of deep sleep or very slow and relaxed states.
- **t-waves (T waves)**: These are not a type of brain wave but are found in an electrocardiogram (ECG) and represent the repolarization of the ventricles.

Given that a person with eyes closed and mind wondering is in a relaxed state but not sleeping deeply, alpha waves are the most likely to be present.

The final answer is A.",A,0.9999972892773126,A,True
1320,Which drug is used for topical application in respiratory papillomatosis?,"['Acyclovir', 'Ranitidine', 'Cidofovir', 'Ribavirin']","Respiratory papillomatosis is a condition caused by human papillomavirus (HPV) that results in the growth of papillomas (benign tumors) in the respiratory tract. The treatment often includes antiviral agents to reduce viral replication and symptoms.

- Acyclovir is an antiviral drug used for herpes simplex virus and varicella-zoster virus infections but not commonly used for respiratory papillomatosis.
- Ranitidine is a histamine H2 receptor antagonist used to treat conditions such as acid reflux and ulcers, not for antiviral purposes.
- Cidofovir is an antiviral medication used to treat cytomegalovirus retinitis in individuals with AIDS but is not typically used for respiratory papillomatosis.
- Ribavirin is an antiviral drug that has shown some efficacy in treating respiratory papillomatosis, particularly in combination with interferon alpha. It is used topically and systemically to manage the symptoms and progression of the disease.

The final answer is D.",D,0.9994248382453226,C,False
1321,Vaccination causing intussusception is,"['Rotavirus', 'Parvovirus', 'Poliovirus', 'BCG']","Intussusception is a condition where a part of the intestine slides into an adjacent part, much like the inside of a telescope. It is a known rare side effect of the rotavirus vaccine. The rotavirus vaccine contains live, attenuated virus, and in very rare cases, it can cause intussusception, especially in infants younger than 12 months.

The final answer is A.",A,0.9999629372167486,A,True
1322,"A baby is born at 27 weeks of gestation required mechanical ventilation for next 4 weeks & O2 for next 1 week. He maintained at room temperature subsequently. As per new Bronchopulmonary dysplasia definition, he has which of the following –","['Mild BPD', 'Moderate BPD', 'Severe BPD', 'No BPD']","To determine the correct answer, we need to understand the criteria for diagnosing Bronchopulmonary Dysplasia (BPD) in preterm infants. BPD is typically defined based on the duration of oxygen therapy and/or mechanical ventilation after birth, especially in very low gestational age infants.

For a baby born at 27 weeks of gestation, the criteria for BPD can be summarized as follows:
- No BPD: If the infant does not require oxygen at 36 weeks postmenstrual age.
- Mild BPD: If the infant requires oxygen for 21-30 days at 36 weeks postmenstrual age.
- Moderate BPD: If the infant requires oxygen for 31-90 days at 36 weeks postmenstrual age.
- Severe BPD: If the infant requires oxygen for more than 90 days at 36 weeks postmenstrual age.

Given the scenario:
- The baby was on mechanical ventilation for the first 4 weeks.
- The baby was on oxygen for the next week (5 weeks total on oxygen).
- The baby was maintained at room temperature subsequently, implying no further respiratory support.

Since the baby required oxygen for 5 weeks, and this is within the range of 21-30 days, the diagnosis would be Mild BPD.

The final answer is A",A,0.9041647698681387,C,False
1323,Which of the following metabolic abnormality is seen in multiple myeloma -,"['Hyponatremia', 'Hypokalemia', 'Hypercalcemia', 'Hyperphosphatemia']","Multiple myeloma often leads to an increase in calcium levels in the blood due to bone destruction and release of calcium from the bones. This condition is known as hypercalcemia. Therefore, the correct answer is C.

The final answer is C",C,0.9999975660516627,C,True
1324,Which cancer is most commonly associated with increased estrogen levels?,"['Cervix', 'Ovarian', 'Breast', 'GTN']","To determine which cancer is most commonly associated with increased estrogen levels, let's consider each option:

A. Cervix - Cervical cancer is typically linked to human papillomavirus (HPV) infection rather than estrogen levels.

B. Ovarian - Ovarian cancer can be influenced by hormones, but there's no direct link to increased estrogen levels as a primary factor.

C. Breast - Breast cancer often has hormonal influences, including estrogen. Increased estrogen levels can stimulate breast cancer cell growth.

D. GTN (Gestational Trophoblastic Neoplasia) - This type of cancer is associated with pregnancy and placental tissues, not estrogen levels.

Given this reasoning, breast cancer (C) is most commonly associated with increased estrogen levels.

The final answer is C.",C,0.999998394592529,C,True
1325,Which of the following reflex is NOT prominent in child at bih?,"[""Moro's reflex"", 'Glabellar tap', 'Crossed extensor reflex', 'Tonic neck reflex']","To determine which reflex is not prominent in a child at birth, let's review each option:

A. Moro's reflex - This is a normal infant reflex present at birth, where the baby will extend and then retract its arms and legs in response to a startling sound or movement. It typically disappears by 3 to 6 months of age.

B. Glabellar tap - This reflex, also known as the Brudzinski sign, is a neurological reflex that can be elicited in individuals who may have meningitis or other neurological conditions. It is not a reflex present at birth.

C. Crossed extensor reflex - This reflex is present at birth, where stimulation of one leg causes the opposite leg to extend. It usually disappears by 1 to 2 months of age.

D. Tonic neck reflex - This reflex is present at birth, characterized by the extension of the arm and leg on the side of the body where the head is turned. It typically disappears by 2 to 4 months of age.

Given the descriptions, the Glabellar tap is not a reflex that is present at birth but rather a neurological reflex that can be elicited in certain clinical conditions.

The final answer is B",B,0.9993565379317338,D,False
1326,Most important in diagnosing Acute Hepatitis B is,"['IgG Anti-HBc', 'Anti HBs', 'IgM Anti-HBc', 'HBsAg']","To diagnose acute hepatitis B, the presence of specific antibodies and antigens is crucial. The key marker for recent or acute infection is the presence of IgM anti-HBc (IgM anti-Hepatitis B core antibody), which indicates an active infection.

Let's break down the options:
- **A. IgG Anti-HBc**: This is positive in people who have had a past hepatitis B infection and are now immune, but it does not indicate an acute infection.
- **B. Anti HBs**: This indicates immunity from a previous infection or vaccination, but it is not specific for diagnosing an acute infection.
- **C. IgM Anti-HBc**: This is a strong indicator of a recent or acute hepatitis B infection.
- **D. HBsAg**: This stands for Hepatitis B surface antigen and is present during an active hepatitis B infection, making it a key marker for diagnosing acute hepatitis B.

Given the above, the most important marker for diagnosing acute hepatitis B is the presence of IgM anti-HBc.

The final answer is C",C,0.6060295911233217,C,True
1327,Which of the following opioid can be given intranasally?,"['Tramadol', 'Pethidine', 'Butorphanol', 'Buprenorphine']","To determine which opioid can be given intranasally, we need to consider the physical properties and common routes of administration for each drug.

- **Tramadol (A)**: Primarily administered orally, but can also be given by injection or rectally. It is not commonly used or recommended for intranasal administration.

- **Pethidine (B)**: Can be administered intramuscularly, intravenously, or orally, but not commonly used intranasally due to its physical properties and the risk of poor absorption.

- **Butorphanol (C)**: This opioid has been approved for intranasal administration in some countries, particularly for the treatment of pain. It is known for its rapid onset and good absorption through the nasal mucosa.

- **Buprenorphine (D)**: Typically administered sublingually or by injection. While it can be used intranasally, it is not as commonly used for this route as Butorphanol.

Given these points, the most suitable opioid for intranasal administration among the options is Butorphanol.

The final answer is C.",C,0.9999763396131336,C,True
1328,"A 55-year-old woman was found to have Ca cervix, FIGO stage 2-3, locally advanced. What would be the management?:","['Surgery plus chemotherapy', 'radiotherapy plus chemotherapy', 'Chemotherapy', 'Radiotherapy plus HPV vaccine']","For a 55-year-old woman diagnosed with cervical cancer (Ca cervix) at FIGO stage 2-3, which indicates locally advanced disease, the standard approach involves a combination of treatments to maximize the chances of cure and control the disease. The primary standard treatment for locally advanced cervical cancer is a combination of radiotherapy and chemotherapy, as this is shown to improve outcomes compared to either modality alone.

- **Option A (Surgery plus chemotherapy)**: Surgery is not typically the primary treatment for locally advanced cervical cancer due to the extent of the disease.
- **Option B (Radiotherapy plus chemotherapy)**: This is the standard of care for locally advanced cervical cancer, combining the benefits of both radiotherapy and chemotherapy to target the cancer more effectively.
- **Option C (Chemotherapy)**: While chemotherapy can be used as a single modality, it is less effective than the combination therapy.
- **Option D (Radiotherapy plus HPV vaccine)**: The HPV vaccine is prophylactic and is not used as a therapeutic option for established cervical cancer.

The final answer is B",B,0.9999708144734889,B,True
1329,Most common cause of urethral stricture is,"['Trauma', 'Infection', 'Congenital', 'Post endoscopy']","To determine the most common cause of urethral stricture, let's consider each option:

A. Trauma: Urethral trauma can occur due to accidents or surgical procedures and is a well-known cause of urethral strictures.

B. Infection: While infections can lead to urethral strictures, they are not as common as trauma.

C. Congenital: Congenital urethral stricture is rare and typically occurs in newborns.

D. Post endoscopy: Although urethral strictures can occur after procedures like endoscopy, it is less common compared to trauma.

Given these considerations, trauma is the most common cause of urethral stricture.

The final answer is A.",A,0.9999991429360302,A,True
1330,"30 years old lady presented with acute pain abdomen, constipation and vomiting suspecting acute intestinal obstruction. The investigation of choice for the patient is -","['Ba enema', 'X-ray abdomen erect posture', 'USG', 'CT scan']","Let's reason through the options step by step:

A. Ba enema: This is a diagnostic procedure where barium, a contrast material, is administered to visualize the intestines. While it can be useful, it is more typically used in a more chronic or non-acute setting to visualize the entire intestinal tract. In an acute setting, it may not be the first choice due to the need to move the contrast through the bowel, which can exacerbate symptoms.

B. X-ray abdomen erect posture: This is a quick and non-invasive method to assess for bowel obstruction. It can often show dilated bowel loops and air-fluid levels, which are indicative of obstruction. It is a common initial step in the evaluation of an acutely abdomen-painful patient.

C. USG (Ultrasound): While useful, ultrasound may not be as sensitive or specific as other imaging modalities for detecting small bowel obstruction. It is more often used for other conditions such as appendicitis or ovarian cysts.

D. CT scan: This is a highly sensitive and specific imaging modality for diagnosing bowel obstruction. It provides detailed images and can help in differentiating between various causes of obstruction. However, it is more invasive and time-consuming compared to an X-ray.

Considering the acute nature of the symptoms and the need for a quick initial assessment, the most appropriate initial investigation is an X-ray abdomen erect posture.

The final answer is B.",B,0.9999572661172759,B,True
1331,What is TRUE about Lovastatin,"['Inhibits HMG CoA synthetase', 'Inhibits HMG CoA reductase', 'Myositis may result from its prolonged use', 'Decrease synthesis of cholesterol and causes lenticular opacity']","Let's analyze each option to determine the correct answer:

A. Inhibits HMG CoA synthetase - Lovastatin actually inhibits HMG CoA reductase, not HMG CoA synthetase. This is the mechanism of action for statins, which Lovastatin is a member of.

B. Inhibits HMG CoA reductase - This is correct. Lovastatin is a statin that inhibits HMG CoA reductase, which is the key enzyme in cholesterol biosynthesis.

C. Myositis may result from its prolonged use - Lovastatin can indeed cause myopathy, which can progress to a serious condition known as rhabdomyolysis. Myositis is a specific form of muscle inflammation that can be a side effect of prolonged use of Lovastatin.

D. Decrease synthesis of cholesterol and causes lenticular opacity - While Lovastatin does decrease cholesterol synthesis, lenticular opacity (clouding of the lens of the eye) is not a known side effect of Lovastatin. This is more commonly associated with other drugs like corticosteroids.

Based on the analysis, the correct answer is:

The final answer is B",B,0.9991189571913215,B,True
1332,Which among the following occupation is a risk factor for this presenting illness?,"['A lifeguard in swimming pool', 'A poultry worker', 'Farmer', 'A kennel worker']","To determine the correct answer, we need to consider the presenting illness. However, the specific illness is not mentioned in the question. Common occupational risks include exposure to chemicals, infectious agents, and environmental factors. Let's analyze each option:

A. A lifeguard in a swimming pool - This occupation could be associated with risks like sun exposure or accidental injuries but not typically with infectious agents like those seen in poultry or kennels.

B. A poultry worker - This occupation is known for the risk of exposure to avian influenza and other infectious diseases, making it a significant risk factor for illnesses like these.

C. Farmer - Farmers are at risk for various conditions such as pesticide exposure, skin conditions, and zoonotic infections, but not specifically linked to the same level of risk as poultry workers for infectious diseases.

D. A kennel worker - This occupation involves close contact with dogs and can expose workers to various infectious diseases, such as rabies or other zoonotic infections, but not as specifically linked to the same level of risk as poultry workers for infectious diseases.

Given the context of potential occupational risks, especially those involving infectious agents, poultry workers are the most likely to be a risk factor for certain illnesses.

The final answer is B.",B,0.9994515235785749,A,False
1333,Gradient in pulmonary aery wedge pressure and left ventricular end diastolic pressure is seen in,"['Aoic regurgitation', 'Constrictive pericarditis', 'Left atrial myxoma', 'Pulmonary thromboembolism']","To determine the correct answer, we need to understand the relationship between pulmonary artery wedge pressure (PAWP) and left ventricular end diastolic pressure (LVEDP) in the context of the given options.

- **Aortic regurgitation**: This condition involves leakage of blood from the aortic valve back into the left ventricle during diastole. It does not directly affect the relationship between PAWP and LVEDP.

- **Constrictive pericarditis**: This condition involves a stiff pericardium that restricts ventricular filling. This can lead to an elevation in both PAWP and LVEDP, but the pressures are typically high and synchronous, not a gradient.

- **Left atrial myxoma**: This is a benign tumor of the left atrium. It can obstruct blood flow into the left ventricle, leading to an elevated PAWP and a higher LVEDP, but again, the pressures are not in a gradient.

- **Pulmonary thromboembolism**: This condition involves a blockage in the pulmonary arteries, leading to an increased PAWP and an elevated LVEDP. However, the key characteristic here is that the PAWP is significantly higher than the LVEDP due to the obstruction in the pulmonary vasculature, creating a gradient.

Given the above explanations, the condition that specifically involves a gradient between PAWP and LVEDP is pulmonary thromboembolism.

The final answer is D",D,0.9998196345032404,C,False
1334,Most common post splenectomy infection is:,"['Pneumococcus', 'Meningococcus', 'Staphy lococcus', 'Corynebacterium']","Reasoning: The spleen plays a crucial role in filtering blood and fighting certain infections, particularly encapsulated bacteria like Streptococcus pneumoniae (pneumococcus) and Neisseria meningitidis (meningococcus). After splenectomy (removal of the spleen), individuals are more susceptible to infections caused by these bacteria due to a reduced ability to clear them from the bloodstream.

The most common post-splenectomy infection is caused by Streptococcus pneumoniae (pneumococcus).

The final answer is A.",A,0.9999992345771915,A,True
1335,Function of peroxisomes is:,"['Generate hydrogen peroxide', 'Degrade hydrogen peroxide', 'Both', 'None']","Peroxisomes are cellular organelles that perform various metabolic functions, including the breakdown of fatty acids and the detoxification of hydrogen peroxide, which is a toxic by-product of oxidative reactions. They contain enzymes that produce hydrogen peroxide and also enzymes that break it down to water and oxygen to prevent cellular damage from oxidative stress.

Given this information, we can conclude that peroxisomes are involved in both generating and degrading hydrogen peroxide.

The final answer is C.",C,0.365003979697942,C,True
1336,Which of the following types of bronchogenic carcinomas are most likely to develop within a residual area of peripheral scar tissue?,"['Small-cell carcinoma', 'Squamous-cell carcinoma', '. Large-cell carcinoma', 'Adenocarcinoma']","To determine the correct answer, let's consider the characteristics of each type of bronchogenic carcinoma:

- **Small-cell carcinoma**: This is a highly aggressive form of lung cancer that often presents in the central airways and is less commonly associated with peripheral scar tissue.
- **Squamous-cell carcinoma**: This type of cancer tends to arise in the larger airways and is less frequently found in peripheral areas of the lung.
- **Large-cell carcinoma**: This is a less common type of lung cancer that can occur anywhere in the lung but is not particularly associated with peripheral scar tissue.
- **Adenocarcinoma**: This type of lung cancer is more commonly found in the peripheral regions of the lung, often developing within pre-existing areas of scar tissue or inflammation.

Given this information, adenocarcinoma is the type most likely to develop within a residual area of peripheral scar tissue.

The final answer is D.",D,0.9999994086875852,D,True
